tahun,bulan,jenis_komoditas,nama_komoditas,nilai_ekspor
2005,"Juni","Hasil industri","Produk logam dasar ",463359
2005,"Juni","Hasil industri","Karet olahan ",32755
2005,"Juni","Hasil industri","Kertas dan barang dari kertas",19408
2005,"Juni","Hasil industri","Makanan olahan",186626
2005,"Juni","Hasil industri","Bahan kimia",212240
2005,"Juni","Hasil industri","Produk kayu olahan",240649
2005,"Juni","Hasil industri","Alas kaki",123185
2005,"Juni","Hasil industri","Damar tiruan, bahan plastik",125891
2005,"Juni","Hasil industri","Furnitur",146137
2005,"Juni","Hasil industri","Kapal laut dan sejenisnya",14365
2005,"Juni","Hasil industri","Bahan kertas",3274
2005,"Juni","Hasil industri","Suku cadang kendaraan",74855
2005,"Juni","Hasil industri","Kendaraan bermotor roda 4 dan lebih",104250
2005,"Juni","Hasil industri","Emas batangan",0
2005,"Juni","Hasil industri","Suku cadang mesin",64612
2005,"Juni","Hasil industri","Asam berlemak",30883
2005,"Juni","Hasil industri","Komputer dan bagiannya",0
2005,"Juni","Hasil industri","Sabun mandi dan cuci",27316
2005,"Juni","Hasil industri","Minyak atsiri dan lainnya",8970
2005,"Juni","Hasil industri","Gelas dan barang dari gelas",34888
2005,"Juni","Hasil industri","Pupuk",31992
2005,"Juni","Hasil industri","Perlengkapan olahraga",19286
2005,"Juni","Hasil industri","Produk keramik",23349
2005,"Juni","Hasil industri","Makanan ternak",4685
2005,"Juni","Hasil industri","Margarin dan lemak lainnya",10865
2005,"Juni","Hasil industri","Produk farmasi",9923
2005,"Juni","Hasil industri","Barang dari logam mulia",4970
2005,"Juni","Hasil industri","Kulit dan barang dari kulit",11053
2005,"Juni","Hasil industri","Preparat pembasmi kuman",1209
2005,"Juni","Hasil industri","Pesawat udara dan bagiannya",15542
2005,"Juni","Hasil industri","Bahan celup organik sintetik",7911
2005,"Juni","Hasil industri","Semen",6301
2005,"Juni","Hasil industri","Kendaraan bermotor roda 2 dan 3",19408
2005,"Juni","Hasil industri","Barang anyaman",0
2005,"Juni","Hasil industri","Rotan olahan",0
2005,"Juni","Hasil industri","Peti kemas",0
2005,"Juni","Hasil industri","Gliserol dan larutan alkali",0
2005,"Juni","Hasil industri","Hasil industri lainnya",918360
2005,"Juni","Hasil pertambangan dan sektor lainnya","Batubara",481883
2005,"Juni","Hasil pertambangan dan sektor lainnya","Biji tembaga",396117
2005,"Juni","Hasil pertambangan dan sektor lainnya","Biji nikel",22810
2005,"Juni","Hasil pertambangan dan sektor lainnya","Bauksit",812
2005,"Juni","Hasil pertambangan dan sektor lainnya","Granit",1124
2005,"Juni","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",41098
2005,"Juni","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",332
2005,"Juni","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",72800
2005,"Juli","Hasil pertanian","Biji coklat",38839
2005,"Juli","Hasil pertanian","Udang",67351
2005,"Juli","Hasil pertanian","Biji kopi",45619
2005,"Juli","Hasil pertanian","Ikan dan lain-lain",17009
2005,"Juli","Hasil pertanian","Rempah-rempah",9500
2005,"Juli","Hasil pertanian","Teh",10975
2005,"Juli","Hasil pertanian","Bahan nabati",571
2005,"Juli","Hasil pertanian","Buah-buahan",51
2005,"Juli","Hasil pertanian","Tembakau",21344
2005,"Juli","Hasil pertanian","Sayur-sayuran",2250
2005,"Juli","Hasil pertanian","Damar dan getah damar",1423
2005,"Juli","Hasil pertanian","Karet alam",190
2005,"Juli","Hasil pertanian","Hasil pertanian lainnya",26698
2005,"Juli","Hasil industri","Minyak sawit",239694
2005,"Juli","Hasil industri","Tekstil dan produk tekstil",562952
2005,"Juli","Hasil industri","Peralatan listrik, alat ukur dan optik",579853
2005,"Juli","Hasil industri","Produk logam dasar ",441404
2005,"Juli","Hasil industri","Karet olahan ",34112
2005,"Juli","Hasil industri","Kertas dan barang dari kertas",18750
2005,"Juli","Hasil industri","Makanan olahan",162819
2005,"Juli","Hasil industri","Bahan kimia",172759
